Criterion ID,Criterion Question,Keywords
1,"Does it tell students' how/why the course content is relevant to their lives and to their future careers?","relevant,career,future,life,application,apply,real-world,practical,relatability,applicability,relevance,professional,workforce,job,usefulness,personal,connection,meaningful,everyday,transferable,skillset,industry"
2,"Does it tell students how course content or skills are used to improve the lives of individuals and/or communities? What are some of the social justice implications of the class?","improve,community,social justice,equity,impact,society,transformation,change,advocacy,civic,engagement,betterment,empowerment,inclusion,marginalized,underrepresented,diversity,equality,collective,wellbeing,progress,reform"
3,"Is grading described in a way that is success-oriented rather than failure-oriented? Growth versus fixed mindset?","success,growth,improvement,develop,progress,achieve,mindset,opportunity,mastery,learning,development,advancement,potential,feedback,reflection,iterative,strength-based,competency,accomplishment,skill-building,journey,improvement"
4,"Are there low-stakes assignments that allow students to practice new skills without much pressure?","practice,low-stakes,formative,feedback,try,attempt,learn from mistakes,risk,safe,preparation,scaffolding,build-up,preliminary,learning opportunity,rehearsal,draft,revision,exploration,experimentation,confidence-building,no penalty,trial"
5,"Is there any language that suggests that the content/skills of the class are learned qualities rather than fixed skills? (growth versus fixed mindset triggers)","learn,develop,acquire,build,improve,growth,progress,journey,process,evolve,cultivate,strengthen,hone,foster,trajectory,advancement,incremental,malleable,potential,trainable,expandable,adaptable"
6,"How are the assignments described? Is the rationale for each assignment clear so that students understand why they are doing them? From a student's perspective, is it clear how completing the assignment results in the learning of a desired skill or content area?","rationale,purpose,goal,reason,skill development,learning outcome,objective,why,designed to,aim,intention,reasoning,justification,benefit,relevance,understanding,application,alignment,transferable,meaningful,authentic,context"
7,"Are the expectations for participation clearly articulated?","participation,engage,contribute,discuss,share,involvement,active,collaborative,engagement,attending,participating,discussions,expectations,guidelines,requirements,criteria,norms,standards,responsibilities,protocol,procedures,contribution"
8,"Does the syllabus use asset-based, inclusionary, and equity-minded language throughout?","inclusive,equitable,diverse,welcoming,supportive,respect,belonging,asset-based,strength-based,affirming,person-first,culturally responsive,anti-racist,anti-bias,inclusivity,diversity,equity,accessibility,representation,sensitivity,empowerment,dignity"
9,"Is the classroom described as a learning community where students will learn with and from each other?","community,collaborative,peer learning,together,share,exchange,collective,group,co-creation,peer-to-peer,mutual,reciprocal,shared expertise,dialogue,interactive,cooperative,social learning,communal,connectedness,cohort,classroom culture,network"
10,"Is the syllabus student-centered, approachable, and welcoming?","welcoming,approachable,accessible,student-centered,friendly,supportive,caring,warm,inviting,encouraging,accessible,open,personalized,accommodating,responsive,considerate,empathetic,reassuring,humanizing,engaging,relatable,conversational"
11,"Are there opportunities for the students to shape the content of instruction, the assignments, and/or the course policies?","choice,input,decide,select,flexibility,option,alternative,preference,agency,self-direction,autonomy,customization,personalization,negotiation,voice,co-creation,contribution,influence,decision-making,empowerment,student-driven,adaptable"
12,"Does it emphasize collaborative learning or a collaborative classroom environment?","collaborate,team,group,together,collective,partnership,cooperation,shared,joint,mutual,reciprocal,interactive,communal,teamwork,alliance,co-learning,synergy,cohort,collective wisdom,exchange,peer-supported,coordinated"
13,"Does it tell students about how student evaluations of the course will be used to improve the course?","feedback,improve,evaluation,assessment,refine,develop,enhance,adjust,course development,revision,adaptation,responsiveness,student input,suggestion,critique,reflection,iteration,advancement,response,modification,adjustments,upgrades"
14,"Does it include multiple ways of contacting the professor and state the preferred method?","contact,email,office hours,communication,available,reach,message,connect,zoom,phone,by appointment,accessibility,availability,response time,messaging,channels,connection,approachability,openness,reachability,consultation,interface"
15,"Does it acknowledge the unique characteristics of this particular group of students?","diverse,unique,individual,background,experience,perspective,identity,acknowledge,demographics,composition,variety,differences,characteristics,attributes,makeup,representation,diversity,distinctiveness,specificity,recognition,awareness,inclusivity"
16,"Are there indications that multiple perspectives are valued in the course?","perspective,viewpoint,diverse,multiple,variety,different,alternative,various,standpoint,lens,worldview,framework,approach,interpretation,angle,diversity of thought,pluralism,multifaceted,heterogeneous,diverse voices,multiplicity,varying"
17,"Are there clear statements about academic integrity and classroom behavior?","integrity,honesty,ethics,behavior,conduct,respect,responsibility,policy,expectations,guidelines,standards,norms,code,rules,requirements,professionalism,etiquette,decorum,principles,boundaries,protocols,values"
18,"Is the DPRC statement welcoming and supportive?","accommodation,disability,access,support,resource,assistance,help,inclusive,accessibility,services,adjustments,modifications,equity,reasonable,adaptation,universal design,barrier-free,enabling,facilitation,provision,aids,individualized"
